Number Valid Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.7,2.1,3.7,5.2,7.6,9,9.5,9.6,9.9,10.2,10.2,10.3,10.4,10.7,10.7,10.8,11,11.1,11.1,11.1,11.2,11.1,11.2,11.1,11.2,11.2,11.2,11.4,11.6,11.5,11.7,11.7,11.7,11.7,11.9,12,12.1,12.2,12.1,12.2,12.2,12.3,12.3,12.4,12.5,12.5,12.5,12.5,12.6,12.6,12.7,12.6,12.7,12.7,12.7,12.7,12.9,12.9,12.9,13,13.1,13.1,13.2,13.2,13.2,13.2,13.3,13.2,13.4,13.4,13.4,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.7,13.8,13.8,13.8,13.9,13.8
Number False Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1
Number Missed Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.8,19.5,19.3,17.9,16.3,14.8,12.4,10.8,10.3,10,10.1,9.8,9.6,9.7,9.4,9.3,9.3,9,8.8,8.7,8.7,8.7,8.6,8.7,8.8,8.7,8.8,8.8,8.8,8.6,8.4,8.5,8.3,8.3,8.3,8.3,8.1,8,7.9,7.8,7.9,7.8,7.8,7.7,7.7,7.6,7.5,7.5,7.5,7.5,7.4,7.4,7.3,7.4,7.3,7.3,7.3,7.3,7.1,7.1,7.1,7,6.9,6.9,6.8,6.8,6.8,6.8,6.7,6.8,6.6,6.6,6.6,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.3,6.2,6.2,6.2,6.1,6.2
Number Spurious Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Time,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
Measure of Completeness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.025,0.035,0.105,0.185,0.26,0.38,0.45,0.475,0.48,0.495,0.51,0.51,0.515,0.52,0.535,0.535,0.54,0.55,0.555,0.555,0.555,0.56,0.555,0.56,0.555,0.56,0.56,0.56,0.57,0.58,0.575,0.585,0.585,0.585,0.585,0.595,0.6,0.605,0.61,0.605,0.61,0.61,0.615,0.615,0.62,0.625,0.625,0.625,0.625,0.63,0.63,0.635,0.63,0.635,0.635,0.635,0.635,0.645,0.645,0.645,0.65,0.655,0.655,0.66,0.66,0.66,0.66,0.665,0.66,0.67,0.67,0.67,0.675,0.675,0.675,0.68,0.68,0.68,0.68,0.68,0.685,0.69,0.69,0.69,0.695,0.69
Number of Good Tracks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.7,2.1,3.7,5.2,7.6,9.1,9.6,9.8,9.9,10.2,10.3,10.3,10.5,10.7,10.7,10.9,11.1,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.2,11.2,11.2,11.4,11.6,11.6,11.7,11.7,11.7,11.7,11.9,12.1,12.1,12.2,12.2,12.2,12.2,12.3,12.3,12.4,12.5,12.5,12.5,12.5,12.6,12.6,12.7,12.7,12.7,12.7,12.7,12.7,12.9,12.9,12.9,13,13.1,13.1,13.2,13.2,13.2,13.2,13.3,13.3,13.4,13.4,13.4,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.8,13.8,13.8,13.9,13.9
Number of Targets,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Number Tracks,0,0,0,0,0,0,0,0,0,2.6,5.7,8.1,9.7,10.4,11.3,11.7,11.9,12.3,12.3,12.4,12.7,12.9,13.3,13.5,13.7,13.8,14,14.3,14.6,14.7,14.8,14.8,14.8,14.9,15.2,15.4,15.7,15.8,16,16,16.2,16.4,16.5,16.6,16.7,16.8,16.8,16.8,16.8,16.9,17,17,17.1,17.1,17.1,17.2,17.3,17.3,17.3,17.3,17.3,17.3,17.5,17.5,17.5,17.5,17.6,17.6,17.6,17.7,17.8,17.8,17.9,17.9,17.9,17.9,17.9,17.9,17.9,18.1,18.1,18.2,18.2,18.2,18.2,18.2,18.3,18.3,18.4,18.4,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Total Number Tracks,0,0,0,0,0,0,0,0,0,2,4,7,7,7,9,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
